429|Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari|Layla is going to perform Phoenix in Broadway. Playing this important role, she sets out on a journey by bicycle alone without leaving any message in order to find out what is missing in her.
4060|Grimm Masterpiece Theater|The series consists of mostly stand-alone episodes which retell different fairy or folk tales.  Despite the title, they are not all based on fairy tales collected by the Grimm Brothers.
4061|Grimm Masterpiece Theater II|Every episode is a stand-alone retelling of a different fairy or folk tale.  Not all of them are based on the fairy tales collected by the Brothers Grimm.
4062|Musashi no Ken|Musashi no Ken is the story of a boy named Musashi who aims to be the Kendo champion.  Part of the anime is him as a child, and part is of him as an adult.
4063|Sekirei|It was a moment in the world¿¿s history not recorded in any textbook. A spaceship crashed to Earth carrying within it a number of powerful, humanoid beings called Sekirei. Their physical and elemental powers are remarkable enough, but by kissing certain human individuals with special genes called Ashikabi, the Seikirei can form a bond with them that awakens a deeper power within the Sekirei themselves.
407|Tantei Gakuen Q|Kyuu is your average boy with a knack for logic and reasoning. Desiring to become a detective, he finds out about the existence of the Dan Detective School (DDS); a famed school where students are allowed to bear arms. Together with Megu, a girl with photographic memory, the martial arts master Kinta, the genius programmer Kazuma and the mysterious Ryuu, Kyuu tackles many well planned out crimes, always seeking the truth.
408|Final Fantasy VII: Last Order|After the destruction of Nibelheim at the hands of Sephiroth, Zack and Cloud are on the run from Shinra Inc. As they make their way back to Midgar, they recall the horrible events that happened at Nibelheim, as well as fight for survival against Shinra.
431|Howl no Ugoku Shiro|That jumbled piece of architecture, that cacophony of hissing steam and creaking joints, with smoke billowing from it as it moves on its own... That castle is home to the magnificent wizard Howl, infamous for both his magical prowess and for being a womanizer¿¿¿or so the rumor goes in Sophie Hatter's small town. Sophie, as the plain daughter of a hatmaker, does not expect much from her future and is content with working hard in the shop.
4312|Hokuto no Ken: Toki-den|The fourth part of the new Hokuto no Ken pentalogy (3 movies, 2 OVAs).
433|Kumo no Mukou, Yakusoku no Basho|In an alternate timeline, Japan was divided after losing World War II: Hokkaido was annexed by "Union" while Honshu and other southern islands were under US sovereignty. A gigantic yet mysterious tower was constructed at Hokkaido and could be seen clearly from Aomori (the northernmost prefecture of Honshu) across Tsugaru Strait. In the summer of 1996, three 9th-graders had made a promise that one day they'll build an aircraft and unravel the tower's mystery, but their project was abandoned after the girl, Sayuri Sawatari, began experiencing sleeping sickness and transferred to Tokyo for better treatment. Three years later, Hiroki Fujisawa accidentally found out that Sayuri had been in a coma since then, and he asked Takuya Shirakawa to help him finding a way to revive her. What they don't know yet is that Sayuri's unconsciousness is somehow linked with secrets of the tower and the world.
435|Magic Knight Rayearth|Love can make you do crazy things...
44|Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuiokuhen|In the days before the Japanese Revolution, Hiko Seiijuro, a wandering master swordsman and hermit, encounters a bandit raid on a slave wagon. Hiko kills the raiding bandits in hopes of saving as many lives as possible, but only manages to spare one life from the massacre. Hiko leaves the child, advising him to go to the nearby village and have them take care of him. A few days later, as Hiko comes back to check upon the child he saved, he is shocked to see the child had created graves, both for the slaves he befriended and the bandits who killed them. Seeing potential in the young one, Hiko takes the child under his wing, names him Kenshin, meaning "heart of sword," and teaches him about the art of swordsmanship under the Hiten Mitsuruugi Ryu.
411|Gun x Sword|Van, a lanky and apathetic swordsman, is on a journey to kill the murderer of his fianc¿. The only characteristic he has to go by is that the murderer has a claw for an arm, hence the murderer being referred to as The Claw Man. During his travels, Van happens to pass through the city of Evergreen, which is defending itself from bandits who aim to rob the city of its treasury. It is in this city that Van meets Wendy Garret, a timid young girl who is looking for her kidnapped brother. When the city pleads for Van's assistance to defend it, he refuses, claiming it has nothing to do with him and thus leaves the city on its own to deal with the peril. Soon after, Van comes across the raiding bandits himself and they eventually tick off the swordsman to a degree where he takes action against them for his own personal vendetta. Surprisingly, Van learns that the bandits had ties with The Claw Man, and in kidnapping Wendy's brother for a reason they did not disclose. After the bandits are dealt with easily, Van and, much to his chagrin, Wendy continue the journey in search of The Claw Man. Little do they know, however, that The Claw Man is involved with something more atrocious than either could fathom.
4114|Onegai My Melody: Kuru Kuru Shuffle!|A continuation of Onegai My Melody.
4056|Masuda Kousuke Gekijou Gag Manga Biyori 3|Based on Masuda Kosuke's popular gag manga. Famous for its cynicism and sarcasm. Features omnibus styled 5-minute episodes starring various characters; including historical figures.
4059|Clannad: Mou Hitotsu no Sekai, Tomoyo-hen|In an alternate universe to the original Clannad anime, Okazaki Tomoya is dating Sakagami Tomoyo in the 24th and final episode of Clannad.
4138|Chiisana Pengin: Lolo no Bouken|Scamper is a penguin who loves to explore. With his friend Snowflake, he has wonderful adventures. They dicover together the wonders of thier world from a puppy called Cowboy and his owner a Scientist whom is studing the Antarctic enviorment. They also discover that not everything in their world is friendly when they get stranded far from home. Yet with luck and the brave Scamper in the lead anything can happen.
415|Tonari no Yamada-kun|Join in the adventures of the quirky Yamada family¿¿¿from the hilarious to the touching¿brilliantly presented in a unique, visually striking comic strip style. Takashi Yamada and his wacky wife Matsuko, who has no talent for housework, navigate their way through the ups and downs of work, marriage and family life with a sharp-tongued grandmother who lives with them, a teenage son who wishes he had cooler parents, and a pesky daughter whose loud voice is unusual for someone so small. Even the family dog has issues!
3931|Initial D Battle Stage 2|This is simply the OAV summing up the major events and battles of "Initial D 4th Stage" much like the "Initial D Battle Stage" original summed up the first 3 seasons. Additionally, has 2 extra battles from the manga that were not incorporated into the original 4th Stage.
3958|Kannagi|Based on a shounen manga by Takenashi Eri, serialised in Comic REX.
396|Seikai no Senki|Three years after their adventure, Lafiel becomes captain on the brand new assault ship Basroil and Jinto finishes his training to become a supply officer and joins Lafiels crew. They set out to join a large fleet with the mission of defending the strategically important Laptic Gate from a force 15 times larger than their own. And to bring even more worries, their new fleet commander is from the Bebous family, a family notorious for their "Spectacular Insanity".
3965|Nodame Cantabile Special|Special lesson about Mine, Masumi, Chiaki and Nodame's travel to Nagano.
397|Seikai no Senki II|Due to a lack of ambassadors for the recently-conquered worlds the rapidly advancing fleet of the Bebaus brothers leave behind, Lafiel is appointed Territorial Ambassador of the planet Lobnas II. Upon arriving to the planet Jinto and Lafiel discover that the planet was used by the United Mankind as a prison planet and now has a million prisoners on the only inhabited island. The prisoners are parted in three blocks. The western where women are housed, the eastern belongs to the men and the central is mixed under the restriction that all prisoners living there are sterilized. The women in the western sector want to emigrate from the planet of fear for the men and when they do the men in the east rebel, overthrowing the guards and capturing Jinto to try to stop the emigration of the women. At the same time an enemy fleet heads toward the system forcing Lafiel to abandon Jinto.
4177|Bounen no Xamdou|Sentan Island is a small island surrounded by the Yuden Sea. It exists in a state of dreamlike tranquility, cut off from the war between the Northern Government and the Southern Continent Free Zone. Our hero, Akiyuki Takehara, lives on Sentain Island along with his mother Fusa. He is currently separated from his father, the town doctor Ryuzo, but the bond between father and son remains. One day, after taking Ryuzo the lunch that Fusa has made for him as usual, Akiyuki arrives at school, where he is caught up in an explosion along with his friends, Haru and Furuichi. The explosion produces a mysterious light, which enters Akiyuki's arm, causing him excruciating pain. He's given no time to understand it, however, as the white-haired girl who rode on the bus with him guides him to a power unlike anything he's ever known.
418|Ranma ¿_: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!|All is well at the Tendo residence when from out of nowhere, a Chinese girl named Lychee appears, seeking revenge on Happosai for a broken promise made since her birth. Things get worse when Kirin and the Seven Lucky Gods appear and abduct Akane to take as his wife. Ranma and the gang must travel to Nekonron, China, and save Akane from getting married to Kirin.
4182|Darker than Black: Kuro no Keiyakusha Special|A side story of Darker than BLACK, also known as Episode 26. A Contractor was killed and it was rumored that his corpse and possessions were buried under a Sakura tree. Hei and the others (including the Police) decide to investigate.
4186|Chrome Shelled Regios|In a post-apocalyptic world overrun with mutated beasts called Limbeekoon or Filth Monsters, humanity is forced to live in large mobile cities called Regios and learn to use special weapons called Dite, by harnessing the power of Kei to defend themselves. In the Academy City of Zuellni, Layfon Alseif is hoping to start a new life and forget his past. However, his past has caught the attention of Karian Loss, the manipulative Student Council President and Nina Antalk, a Military Arts student and Captain of the 17th Military Arts Platoon, who instantly recognizes his abilities and decides he¿¿s the perfect candidate to join her group. However, with a secret past that won¿¿t leave him alone and unknown powers beyond normal, Layfon just might not take it.
